sessionID,characterID,timeSurvived,totalEnemiesKilled,level,enemyKills
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
S00001,C01,00:52,33,4,E02:4;E03:9;E01:3;E04:10;E05:6;E06:1
